fechaHora,fechaHora,ultimoPrecio
2020-03-03 17:00:43.910,2020-03-03T17:00:43.91,50.5
2020-03-02 17:00:39.770,2020-03-02T17:00:39.77,50.0
2020-02-28 17:00:41.523,2020-02-28T17:00:41.523,50.0
2020-02-27 17:00:38.350,2020-02-27T17:00:38.35,50.0
2020-02-26 17:00:38.607,2020-02-26T17:00:38.607,53.0
2020-02-21 17:00:34.800,2020-02-21T17:00:34.8,55.0
2020-02-20 17:00:38.863,2020-02-20T17:00:38.863,57.0
2020-02-19 17:00:39.437,2020-02-19T17:00:39.437,57.0
2020-02-18 17:00:40.830,2020-02-18T17:00:40.83,57.0
2020-02-17 17:00:40.870,2020-02-17T17:00:40.87,57.0
2020-02-14 17:00:40.040,2020-02-14T17:00:40.04,57.0
2020-02-13 17:00:43.990,2020-02-13T17:00:43.99,60.0
2020-02-12 17:00:40.747,2020-02-12T17:00:40.747,62.0
2020-02-11 17:00:40.067,2020-02-11T17:00:40.067,61.0
2020-02-10 17:00:38.657,2020-02-10T17:00:38.657,60.0
2020-02-07 17:00:42.947,2020-02-07T17:00:42.947,59.0
2020-02-06 17:00:43.193,2020-02-06T17:00:43.193,59.9
2020-02-05 17:00:38.407,2020-02-05T17:00:38.407,59.9
2020-02-04 17:00:39.667,2020-02-04T17:00:39.667,59.9
2020-02-03 17:00:38.010,2020-02-03T17:00:38.01,59.9
2020-01-31 17:00:43.247,2020-01-31T17:00:43.247,60.0
2020-01-30 17:00:38.480,2020-01-30T17:00:38.48,60.0
2020-01-29 17:00:43.410,2020-01-29T17:00:43.41,60.0
2020-01-28 17:00:40.030,2020-01-28T17:00:40.03,58.5
2020-01-27 17:00:38.117,2020-01-27T17:00:38.117,58.5
2020-01-24 17:00:42.180,2020-01-24T17:00:42.18,62.0
2020-01-23 17:00:36.563,2020-01-23T17:00:36.563,61.9
2020-01-22 17:00:46.010,2020-01-22T17:00:46.01,62.0
2020-01-21 17:00:42.080,2020-01-21T17:00:42.08,64.5
2020-01-20 17:00:42.330,2020-01-20T17:00:42.33,65.0
2020-01-17 17:00:34.317,2020-01-17T17:00:34.317,66.0
2020-01-16 17:00:45.153,2020-01-16T17:00:45.153,66.0
2020-01-15 17:00:41.660,2020-01-15T17:00:41.66,66.0
2020-01-14 17:00:41.653,2020-01-14T17:00:41.653,69.7
2020-01-13 17:00:20.000,2020-01-13T17:00:20,68.0
2020-01-10 17:00:42.507,2020-01-10T17:00:42.507,64.0
2020-01-09 17:00:43.150,2020-01-09T17:00:43.15,61.0
